Token	True POS	Predicted POS
,	,	,
$	$	$
are	VBP	VBP
for	IN	IN
,	,	,
A	DT	DT
Corp	NNP	NNP
draw	VB	VB
fraction	NN	NN
into	IN	IN
Nearly	RB	RB
by	IN	IN
the	DT	DT
,	,	,
after	IN	IN
offer	NN	NN
at	IN	IN
James	NNP	NNP
of	IN	IN
votes	NNS	NNS
that	WDT	IN
houses	NNS	NNS
given	VBN	VBN
.	.	.
of	IN	IN
form	VB	NN
into	IN	IN
''	''	''
an	DT	DT
%	NN	NN
questioned	VBD	VBD
in	IN	IN
boosting	VBG	VBG
dollar	NN	NN
of	IN	IN
previously	RB	RB
a	DT	DT
whole	JJ	JJ
giving	VBG	VBG
the	DT	DT
just	RB	RB
at	IN	IN
Redmond	NNP	NNP
anticipation	NN	NN
developer	NN	NN
management	NN	NN
difficult	JJ	JJ
financially	RB	RB
's	POS	POS
were	VBD	VBD
market	NN	NN
chains	NNS	NNS
transactions	NNS	NNS
infringe	VB	VB
's	POS	POS
's	POS	POS
energy	NN	NN
the	DT	DT
:	:	:
so	RB	RB
arched	JJ	VBN
are	VBP	VBP
holiday	NN	NNP
shaking	VBG	VBG
a	DT	DT
,	,	,
Alsthom	NNP	NNP
.	.	.
York	NNP	NNP
Francis	NNP	NNP
people	NNS	NNS
required	VBN	VBN
going	VBG	VBG
n't	RB	RB
best	JJS	JJS
Inn	NNP	NNP
hire	VB	VB
society	NN	NN
the	DT	DT
.	.	.
a	DT	DT
counter	NN	VB
,	,	,
million	CD	CD
say	VBP	VBP
the	DT	DT
retail	JJ	JJ
why	WRB	WRB
year-earlier	JJ	JJ
to	TO	TO
,	,	,
to	TO	TO
is	VBZ	VBZ
and	CC	CC
101	CD	CD
,	,	,
it	PRP	PRP
is	VBZ	VBZ
liability	NN	NN
a	DT	DT
2.5	CD	CD
we	PRP	PRP
be	VB	VB
investments	NNS	NNS
estate	NN	NN
indirectly	RB	RB
Sea	NNP	NNP
the	DT	DT
to	TO	TO
problems	NNS	NNS
3\/8	CD	CD
into	IN	IN
million	CD	CD
Lafontant	NNP	JJ
15	CD	CD
for	IN	IN
.	.	.
month	NN	NN
old	JJ	JJ
portfolios	NNS	NNS
stores	NNS	NNS
Western	NN	NNP
neither	DT	DT
to	TO	TO
of	IN	IN
in	IN	IN
of	IN	IN
thinks	VBZ	VBZ
poverty	NN	NN
did	VBD	VBD
,	,	,
boiler	NN	NN
many	JJ	JJ
.	.	.
Citicorp	NNP	NNP
,	,	,
.	.	.
-RRB-	)	)
30	CD	CD
-RRB-	)	)
earlier	RBR	RBR
.	.	.
Shearson	NNP	NNP
Community	NNP	NN
.	.	.
a	DT	DT
,	,	,
declined	VBD	VBD
supporting	VBG	VBG
Tuesday	NNP	NNP
on	IN	IN
control	NN	NN
Thursday	NNP	NNP
,	,	,
,	,	,
UCSF	NNP	NNP
%	NN	NN
predicted	VBD	VBD
high	JJ	JJ
is	VBZ	VBZ
At	IN	IN
10,000	CD	CD
of	IN	IN
an	DT	DT
,	,	,
--	:	:
to	TO	TO
other	JJ	JJ
rate	NN	NN
commanding	VBG	VBG
the	DT	DT
Tokyo	NNP	NNP
the	DT	DT
even	RB	RB
important	JJ	JJ
or	CC	CC
average	JJ	JJ
year	NN	NN
.	.	.
of	IN	IN
area	NN	NN
$	$	$
''	''	''
:	:	:
also	RB	RB
''	''	''
of	IN	IN
be	VB	VB
.	.	.
important	JJ	JJ
Both	DT	DT
attorney	NN	NN
same	JJ	JJ
to	TO	TO
``	``	``
security	NN	NN
.	.	.
guaranteed	VBD	VBN
expand	VB	VB
tried	VBD	VBD
he	PRP	PRP
more	JJR	JJR
full	JJ	JJ
.	.	.
New	NNP	JJ
youngest	JJS	JJS
's	POS	POS
may	MD	MD
historical	JJ	JJ
a	DT	DT
options	NNS	NNS
belief	NN	NN
$	$	$
with	IN	IN
No.	VB	NN
an	DT	DT
real	JJ	JJ
further	JJ	JJ
Bay	NNP	NNP
.	.	.
that	IN	IN
day	NN	NN
U.S.	NNP	NNP
generate	VB	VB
offices	NNS	NNS
at	IN	IN
takeover	NN	NN
,	,	,
He	PRP	PRP
which	WDT	WDT
low-lifes	NNS	JJ
of	IN	IN
was	VBD	VBD
would	MD	MD
than	IN	IN
.	.	.
are	VBP	VBP
speech	NN	NN
from	IN	IN
and	CC	CC
even	RB	RB
was	VBD	VBD
paying	VBG	VBG
sale	NN	NN
desk	NN	NN
,	,	,
enforce	VB	VB
secured	VBN	VBN
,	,	,
sober	JJ	NNP
Serious	JJ	JJ
its	PRP$	PRP$
or	CC	CC
net	JJ	JJ
funds	NNS	NNS
seen	VBN	VBN
That	DT	IN
investment	NN	NN
Mr.	NNP	NNP
Mr.	NNP	NNP
%	NN	NN
some	DT	DT
's	VBZ	POS
``	``	``
Service	NNP	NN
stocks	NNS	NNS
1988	CD	CD
Inc.	NNP	NNP
tax	NN	NN
city	NN	NN
The	DT	DT
delay	NN	VB
the	DT	DT
be	VB	VB
,	,	,
a	DT	DT
only	RB	RB
n't	RB	RB
human-rights	JJ	JJ
.	.	.
and	CC	CC
.	.	.
relatively	RB	RB
quarter	NN	NN
down	RB	RB
Miller	NNP	NNP
and	CC	CC
12	CD	CD
to	TO	TO
of	IN	IN
the	DT	DT
and	CC	CC
a	DT	DT
price	NN	NN
billion	CD	CD
required	VBD	VBN
to	TO	TO
United	NNP	NNP
priority	NN	NN
that	IN	IN
falls	VBZ	VBZ
pursue	VB	VB
one	CD	CD
.	.	.
its	PRP$	PRP$
based	VBN	VBN
to	TO	TO
specified	VBN	VBN
in	IN	IN
own	JJ	JJ
Mr.	NNP	NNP
or	CC	CC
intimately	RB	RB
has	VBZ	VBZ
,	,	,
million	CD	CD
sold	VBN	VBN
with	IN	IN
,	,	,
that	IN	IN
guilty	JJ	JJ
Society	NNP	NN
's	POS	POS
A	DT	DT
ploy	NN	NN
the	DT	DT
former	JJ	JJ
a	DT	DT
types	NNS	NNS
Newport	NNP	NNP
,	,	,
conflict	NN	NN
Kerry	NNP	NNP
up	IN	IN
is	VBZ	VBZ
to	TO	TO
to	TO	TO
figures	NNS	NNS
by	IN	IN
pretty	RB	RB
Thousands	NNS	NNS
Streetspeak	NNP	NNP
suspect	VBP	VB
whose	WP$	WP$
to	TO	TO
company	NN	NN
profitable	JJ	JJ
a	DT	DT
fortunate	JJ	JJ
The	DT	DT
for	IN	IN
market	NN	NN
Mr.	NNP	NNP
Star	NNP	NNP
in	IN	IN
appear	VBP	VB
Hotels	NNP	NNS
Reformed	NNP	VBN
a	DT	DT
adds	VBZ	VBZ
staid	JJ	NN
2.25	CD	CD
through	IN	IN
.	.	.
``	``	``
.	.	.
recently	RB	RB
their	PRP$	PRP$
Robert	NNP	NNP
sister	NN	NN
for	IN	IN
but	CC	CC
,	,	,
he	PRP	PRP
of	IN	IN
analysts	NNS	NNS
real	JJ	JJ
was	VBD	VBD
make	VB	VB
compatible	JJ	JJ
top	JJ	JJ
relax	VB	VB
told	VBD	VBD
,	,	,
helped	VBD	VBD
But	CC	CC
storm	NN	NN
,	,	,
most	RBS	RBS
a	DT	DT
tops	NNS	NNS
are	VBP	VBP
for	IN	IN
Federal	NNP	JJ
of	IN	IN
asserted	VBD	VBD
Express	NNP	NNP
contract	NN	NN
ago	RB	RB
H.	NNP	NNP
The	DT	DT
will	MD	MD
N.C	NNP	NNP
.	.	.
and	CC	CC
denied	VBN	VBD
%	NN	NN
$	$	$
capital-boosting	JJ	VBG
Terms	NNS	NNS
seeks	VBZ	VBZ
out	IN	IN
additional	JJ	JJ
million	CD	CD
the	DT	DT
But	CC	CC
spend	VB	VB
in	IN	IN
stations	NNS	NNS
's	POS	POS
Van	NNP	NNP
a	DT	DT
company	NN	NN
will	MD	MD
.	.	.
phone	NN	NN
Miami	NNP	NNP
bleeding	VBG	VBG
Theory	NNP	NN
by	IN	IN
free	JJ	JJ
page	NN	NN
managed	VBD	VBD
which	WDT	WDT
''	''	''
Friday	NNP	NNP
catalytic	JJ	JJ
with	IN	IN
of	IN	IN
get	VBP	VB
.	.	.
industry	NN	NN
.	.	.
with	IN	IN
million	CD	CD
calls	NNS	VBZ
York	NNP	NNP
a	DT	DT
figures	NNS	NNS
best-performing	JJ	VBG
named	VBN	VBN
were	VBD	VBD
IBM	NNP	NNP
discussions	NNS	NNS
,	,	,
with	IN	IN
Grant	NNP	NNP
Mr.	NNP	NNP
one	CD	CD
B.A.T	NNP	NNP
from	IN	IN
proceeds	NNS	NNS
companies	NNS	NNS
Savings	NNP	NNS
Reserves	NNS	NNS
65	CD	CD
.	.	.
think	VBP	VBP
for	IN	IN
other	JJ	JJ
primarily	RB	RB
wo	MD	MD
held	VBN	VBN
and	CC	CC
the	DT	DT
,	,	,
.	.	.
in	IN	IN
money	NN	NN
such	JJ	JJ
or	CC	CC
The	DT	DT
too	RB	RB
alleged	VBN	VBN
Lang	NNP	NNP
aid	NN	NN
.	.	.
on	IN	IN
Kean	NNP	NNP
caused	VBD	VBN
improved	VBN	VBN
tax-give-away	JJ	JJ
102	CD	CD
major	JJ	JJ
not	RB	RB
-LRB-	(	(
market	NN	NN
to	TO	TO
.	.	.
in	IN	IN
hung	VBN	NNP
choices	NNS	NNS
it	PRP	PRP
bought	VBD	VBD
Ground	NNP	NN
million	CD	CD
a	DT	DT
director	NN	NN
$	$	$
of	IN	IN
his	PRP$	PRP$
to	TO	TO
held	VBN	VBN
insurance	NN	NN
1990	CD	CD
few	JJ	JJ
has	VBZ	VBZ
with	IN	IN
main	JJ	JJ
billion	CD	CD
had	VBD	VBD
until	IN	IN
share	NN	NN
than	IN	IN
age	NN	NN
Hastings	NNP	NNP
with	IN	IN
than	IN	IN
voters	NNS	NNS
disaster	NN	NN
than	IN	IN
know	VB	VB
Watertown	NNP	NN
quarter	NN	NN
been	VBN	VBN
said	VBD	VBD
the	DT	DT
Machines	NNP	NNS
finance	VB	NN
the	DT	DT
the	DT	DT
ago	RB	RB
's	VBZ	POS
's	POS	POS
end	NN	NN
related	VBN	VBN
died	VBD	VBN
both	DT	DT
share	NN	NN
to	TO	TO
prices	NNS	NNS
officer	NN	NN
that	IN	IN
share	NN	NN
programmatic	JJ	JJ
that	IN	IN
Building	NNP	NN
law	NN	NN
For	IN	IN
that	WDT	IN
with	IN	IN
a	DT	DT
the	DT	DT
proceeds	NNS	NNS
on	IN	IN
this	DT	DT
composite	JJ	JJ
,	,	,
earnings	NNS	NNS
.	.	.
shouting	VBG	VBG
as	IN	IN
a	DT	DT
``	``	``
25.50	CD	CD
's	POS	POS
to	TO	TO
now	RB	RB
solve	VB	VB
to	TO	TO
's	POS	POS
out	IN	IN
its	PRP$	PRP$
:	:	:
million	CD	CD
led	VBN	VBN
%	NN	NN
to	TO	TO
cleaning	NN	NN
branch	NN	NN
translations	NNS	NNS
.	.	.
And	CC	CC
corporate	JJ	JJ
grand-prize	NN	JJ
children	NNS	NNS
in	IN	IN
jointly	RB	RB
sales	NNS	NNS
version	NN	NN
.	.	.
pitch	NN	NN
.	.	.
47	CD	CD
man	NN	NN
to	TO	TO
of	IN	IN
sudden	JJ	JJ
might	MD	MD
trading	NN	NN
light	NN	NN
So	RB	RB
the	DT	DT
Committee	NNP	NNP
.	.	.
Seabrook	NNP	NNP
,	,	,
's	POS	POS
current	JJ	JJ
``	``	``
takeover	NN	NN
year	NN	NN
the	DT	DT
struck	VBD	VBD
for	IN	IN
one	CD	CD
limited	JJ	JJ
technical	JJ	JJ
form	NN	NN
New	NNP	JJ
.	.	.
increase	NN	NN
the	DT	DT
--	:	:
Congress	NNP	NNP
the	DT	DT
run	VBP	VB
that	IN	IN
real-estate	NN	NN
increasing	VBG	VBG
.	.	.
insurance	NN	NN
The	DT	DT
a	DT	DT
to	TO	TO
harvest	VBP	NN
two	CD	CD
to	TO	TO
MUTUAL	JJ	JJ
subsidizing	VBG	VBG
the	DT	DT
gain	NN	NN
put	VBN	VB
million	CD	CD
10	CD	CD
say	VBP	VBP
it	PRP	PRP
of	IN	IN
6,000-member	NNP	JJ
over	IN	IN
for	IN	IN
.	.	.
analysts	NNS	NNS
Skinner	NNP	NNP
whether	IN	IN
a	DT	DT
many	JJ	JJ
Investigating	VBG	VBG
.	.	.
--	:	:
841	CD	CD
companies	NNS	NNS
the	DT	DT
,	,	,
be	VB	VB
Downtown	NNP	NN
younger	JJR	JJR
ignoring	VBG	VBG
the	DT	DT
investments	NNS	NNS
share	NN	NN
than	IN	IN
quoted	VBN	VBN
plunge	NN	NN
swiftly	RB	RB
have	VB	VBP
down	RB	RB
being	VBG	VBG
.	.	.
be	VB	VB
-RRB-	)	)
a	DT	DT
and	CC	CC
''	''	''
%	NN	NN
835	CD	CD
will	MD	MD
years	NNS	NNS
,	,	,
related	VBN	VBN
of	IN	IN
16	CD	CD
year	NN	NN
the	DT	DT
Harris	NNP	NNP
Africa	NNP	NNP
1\/8	CD	CD
of	IN	IN
years	NNS	NNS
in	IN	IN
inappropriate	JJ	JJ
directly	RB	RB
loan	NN	NN
's	POS	POS
will	MD	MD
the	DT	DT
Iran	NNP	NNP
its	PRP$	PRP$
the	DT	DT
Mr.	NNP	NNP
have	VBP	VBP
from	IN	IN
.	.	.
the	DT	DT
obvious	JJ	JJ
one	CD	CD
later	RB	RB
Futures	NNS	NNS
information	NN	NN
be	VB	VB
slid	VBD	VBD
and	CC	CC
both	DT	DT
insurers	NNS	NNS
earlier	RBR	RBR
accounting	NN	NN
subsidiary	NN	NN
being	VBG	VBG
profit	NN	NN
,	,	,
raw-materials	NNS	NNS
of	IN	IN
of	IN	IN
bumper	NN	NNP
by	IN	IN
a	DT	DT
entrenched	VBN	VBN
Corp.	NNP	NNP
.	.	.
as	IN	IN
company	NN	NN
street	NN	NNP
drain	VB	VB
27.9	CD	CD
,	,	,
proposed	VBN	VBN
a	DT	DT
was	VBD	VBD
provided	VBN	VBN
stretch	NN	NN
,	,	,
you	PRP	PRP
will	MD	MD
says	VBZ	VBZ
apartments	NNS	NNS
new	JJ	JJ
to	TO	TO
,	,	,
legislator	NN	NN
;	:	:
continues	VBZ	VBZ
for	IN	IN
and	CC	CC
it	PRP	PRP
increment	NN	NN
well	RB	RB
its	PRP$	PRP$
pithy	JJ	NNP
finance	VB	NN
under	IN	IN
shareholder	NN	NN
have	VBP	VBP
And	CC	CC
bogus	JJ	JJ
national	JJ	NNP
level	NN	NN
.	.	.
year	NN	NN
that	WDT	IN
the	DT	DT
Bay	NNP	NNP
executive	JJ	JJ
building	NN	NN
its	PRP$	PRP$
Kingdom	NNP	NNP
resolution	NN	NNP
demand	NN	NN
528.4	CD	CD
It	PRP	PRP
N.Y	NNP	NNP
paradox	NN	NN
space-science	NN	NN
of	IN	IN
,	,	,
beneficiaries	NNS	NNS
slowdown	NN	NN
barrels	NNS	NNS
,	,	,
said	VBD	VBD
summarize	VB	NN
3	CD	CD
yet	RB	RB
public	JJ	JJ
Recession	NN	NN
.	.	.
noted	VBD	VBD
statute	NN	NN
of	IN	IN
week	NN	NN
5\/8	CD	CD
of	IN	IN
hits	NNS	VBZ
on	IN	IN
index	NN	NN
dole	VBP	NNP
in	IN	IN
we	PRP	PRP
cost	NN	NN
almost	RB	RB
proposal	NN	NN
,	,	,
Capital	NNP	NN
to	TO	TO
provided	VBD	VBN
workstation	NN	NN
the	DT	DT
anybody	NN	NN
's	POS	POS
.	.	.
to	TO	TO
maturity	NN	NN
some	DT	DT
in	IN	IN
1988	CD	CD
there	EX	EX
much	JJ	JJ
Services	NNP	NNS
while	IN	IN
n't	RB	RB
would	MD	MD
well	RB	RB
the	DT	DT
's	POS	POS
,	,	,
would	MD	MD
holders	NNS	NNS
investor	NN	NN
interested	JJ	JJ
buy-back	NN	NN
again	RB	RB
shares	NNS	NNS
it	PRP	PRP
makes	VBZ	VBZ
,	,	,
's	POS	POS
1991	CD	CD
.	.	.
''	''	''
families	NNS	NNS
system	NN	NN
--	:	:
president	NN	NN
Laboratory	NNP	NN
January	NNP	NNP
out	IN	IN
from	IN	IN
32	CD	CD
each	DT	DT
mainframe-class	JJ	JJ
city	NN	NN
,	,	,
International	NNP	NNP
posted	VBD	VBD
the	DT	DT
higher	JJR	JJR
Scandinavia	NNP	NNP
greatly	RB	RB
the	DT	DT
not	RB	RB
the	DT	DT
Carnegie	NNP	NNP
is	VBZ	VBZ
.	.	.
,	,	,
,	,	,
but	CC	CC
10	CD	CD
I	PRP	PRP
certain	JJ	JJ
unchanged	JJ	JJ
made	VBN	VBN
without	IN	IN
100,000	CD	CD
to	TO	TO
to	TO	TO
Corp.	NNP	NNP
stocks	NNS	NNS
auto	NN	NN
A	DT	DT
Department	NNP	NNP
now	RB	RB
to	TO	TO
Stock	NNP	NN
for	IN	IN
Manhattan	NNP	NNP
He	PRP	PRP
of	IN	IN
to	TO	TO
a	DT	DT
and	CC	CC
his	PRP$	PRP$
gain	NN	NN
damage	NN	NN
The	DT	DT
Friday	NNP	NNP
I	PRP	PRP
continued	VBD	VBD
a	DT	DT
he	PRP	PRP
example	NN	NN
is	VBZ	VBZ
determine	VB	VB
encounter	NN	VB
two	CD	CD
underwritten	VBN	VBN
said	VBD	VBD
often	RB	RB
they	PRP	PRP
merger	NN	NN
made	VBD	VBN
hold	VB	VB
which	WDT	WDT
sell	VB	VB
's	VBZ	POS
the	DT	DT
scaled	VBN	VBN
Comex	NNP	NNP
compared	VBN	VBN
its	PRP$	PRP$
research	NN	NN
trade	VB	NN
was	VBD	VBD
furriers	NNS	NNS
interests	NNS	NNS
lost	VBD	VBD
two	CD	CD
incompetent	JJ	NN
screwed	VBN	VBN
burned	VBD	VBN
International	NNP	NNP
the	DT	DT
up	IN	IN
residual	JJ	NNP
only	RB	RB
pro-choice	JJ	JJ
.	.	.
costs	NNS	NNS
Corp.	NNP	NNP
;	:	:
0.8	CD	CD
of	IN	IN
holding	VBG	VBG
drug-related	JJ	JJ
Shealy	NNP	NNP
.	.	.
of	IN	IN
of	IN	IN
markets	NNS	NNS
and	CC	CC
billion	CD	CD
blended	JJ	VBD
as	IN	IN
were	VBD	VBD
71.6	CD	CD
manufacturing	NN	NN
can	MD	MD
billion	CD	CD
,	,	,
somebody	NN	NN
said	VBD	VBD
are	VBP	VBP
owned	VBD	VBN
our	PRP$	PRP$
limiting	VBG	VBG
It	PRP	PRP
using	VBG	VBG
for	IN	IN
,	,	,
rich	JJ	JJ
The	DT	DT
,	,	,
-RRB-	)	)
computer	NN	NN
and	CC	CC
clearly	RB	RB
The	DT	DT
In	IN	IN
grain	NN	NN
few	JJ	JJ
beer	NN	NN
in	IN	IN
Mr.	NNP	NNP
from	IN	IN
a	DT	DT
;	:	:
now	JJ	RB
and	CC	CC
Spaulding	NNP	VBG
they	PRP	PRP
1	CD	CD
a	DT	DT
opponents	NNS	NNS
is	VBZ	VBZ
generation	NN	NN
$	$	$
tremendous	JJ	JJ
many	JJ	JJ
.	.	.
100	CD	CD
officials	NNS	NNS
,	,	,
financial	JJ	JJ
.	.	.
Unless	IN	IN
weekend	NN	NN
.	.	.
have	VBP	VBP
9.87	CD	CD
considered	VBN	VBN
for	IN	IN
pay	VB	VB
%	NN	NN
than	IN	IN
25	CD	CD
Chez	NNP	NNP
long	RB	JJ
,	,	,
suit	NN	NN
in	IN	IN
earlier	RBR	RBR
president	NN	NN
technology	NN	NN
round	NN	NN
fees	NNS	NNS
theory	NN	NN
paid	VBN	VBN
Denver	NNP	NNP
production	NN	NN
the	DT	DT
post	VB	NN
in	IN	IN
.	.	.
money	NN	NN
for	IN	IN
is	VBZ	VBZ
private-school	JJ	NN
a	DT	DT
Renault	NNP	NNP
,	,	,
$	$	$
,	,	,
rest	NN	NN
history	NN	NN
.	.	.
The	DT	DT
contends	VBZ	VBZ
sets	NNS	NNS
feet	NNS	NNS
touch	NN	NN
still	JJ	RB
we	PRP	PRP
's	POS	POS
up	IN	IN
n't	RB	RB
8.4	CD	CD
the	DT	DT
%	NN	NN
major	JJ	JJ
into	IN	IN
provide	VBP	VB
they	PRP	PRP
fatten	VBP	VBN
new	JJ	JJ
19.7	CD	CD
is	VBZ	VBZ
a	DT	DT
federal	JJ	JJ
joint	JJ	JJ
or	CC	CC
monitor	VB	NN
signs	NNS	NNS
the	DT	DT
business	NN	NN
of	IN	IN
line-item	JJ	JJ
For	IN	IN
the	DT	DT
on	IN	IN
plane	NN	NN
The	DT	DT
below	IN	IN
,	,	,
sites	NNS	NNS
die	VB	VBP
Foods	NNPS	NNP
explanation	NN	NN
of	IN	IN
would	MD	MD
track	NN	NN
says	VBZ	VBZ
democracy	NN	NN
it	PRP	PRP
West	NNP	NNP
to	TO	TO
of	IN	IN
Right	NNP	NN
%	NN	NN
trip	NN	NN
markets	NNS	NNS
at	IN	IN
open	JJ	JJ
rising	VBG	VBG
kill	VB	VB
addition	NN	NN
bay	NN	NNP
he	PRP	PRP
besides	IN	IN
industry	NN	NN
companies	NNS	NNS
next	JJ	JJ
well	RB	RB
some	DT	DT
age	NN	NN
's	POS	POS
.	.	.
Robert	NNP	NNP
organization	NN	NN
at	IN	IN
,	,	,
lie	VBP	NN
million	CD	CD
net	JJ	JJ
's	VBZ	POS
hatchet	NN	NNP
Insurance	NNP	NN
Sung	NNP	NNP
or	CC	CC
up	IN	IN
as	IN	IN
the	DT	DT
to	TO	TO
figure	NN	NN
the	DT	DT
have	VBP	VBP
been	VBN	VBN
others	NNS	NNS
apartheid	NN	NN
.	.	.
recent	JJ	JJ
a	DT	DT
second	JJ	JJ
would	MD	MD
Radical	NNP	JJ
,	,	,
bolster	VB	VB
average	JJ	JJ
it	PRP	PRP
that	IN	IN
.	.	.
it	PRP	PRP
Contras	NNPS	NNPS
Femina	NNP	NNP
these	DT	DT
Dalton	NNP	NNP
Citicorp	NNP	NNP
several	JJ	JJ
image	NN	NN
?	.	.
investment	NN	NN
and	CC	CC
Fannie	NNP	NNP
,	,	,
the	DT	DT
of	IN	IN
from	IN	IN
says	VBZ	VBZ
in	IN	IN
is	VBZ	VBZ
would	MD	MD
all	DT	DT
chief	JJ	JJ
placing	VBG	VBG
by	IN	IN
Ariz.	NNP	NNP
success	NN	NN
million	CD	CD
drop	VB	NN
said	VBD	VBD
,	,	,
new-issue	JJ	JJ
of	IN	IN
.	.	.
editor	NN	NN
Dealers	NNS	NNS
for	IN	IN
of	IN	IN
5	NN	NN
be	VB	VB
it	PRP	PRP
was	VBD	VBD
and	CC	CC
expressed	VBD	VBD
Nasdaq	NNP	NNP
down	RB	RB
to	TO	TO
the	DT	DT
a	DT	DT
David	NNP	NNP
by	IN	IN
of	IN	IN
by	IN	IN
to	TO	TO
for	IN	IN
now	RB	RB
hepatitis	NN	NN
the	DT	DT
and	CC	CC
had	VBD	VBD
supply	VB	NN
.	.	.
proving	VBG	VBG
companies	NNS	NNS
building	NN	NN
rice	NN	NN
analyst	NN	NN
one	PRP	CD
.	.	.
,	,	,
period	NN	NN
rings	NNS	NNS
this	DT	DT
two	CD	CD
here	RB	RB
a	DT	DT
for	IN	IN
September	NNP	NNP
Digital	NNP	NNP
's	POS	POS
the	DT	DT
state	NN	NN
''	''	''
sometimes	RB	RB
forms	NNS	NNS
attention	NN	NN
,	,	,
firm	NN	NN
end	NN	NN
than	IN	IN
any	DT	DT
be	VB	VB
a	DT	DT
to	TO	TO
the	DT	DT
policy	NN	NN
the	DT	DT
direction	NN	NN
production	NN	NN
,	,	,
the	DT	DT
that	IN	IN
favors	VBZ	VBZ
by	IN	IN
astronauts	NNS	NNS
.	.	.
ruled	VBN	VBD
His	PRP$	PRP$
Femina	NNP	NNP
notes	NNS	NNS
through	IN	IN
amounts	NNS	NNS
Capital	NNP	NN
company	NN	NN
be	VB	VB
first	JJ	JJ
machines	NNS	NNS
.	.	.
Puerto	NNP	NNP
-RRB-	)	)
Bonds	NNS	NNS
-RRB-	)	)
are	VBP	VBP
and	CC	CC
street	NN	NNP
press	NN	NN
Asian	NNP	NNP
lieutenant	NN	NN
part	NN	NN
,	,	,
of	IN	IN
in	IN	IN
elements	NNS	NNS
Airlines	NNPS	NNPS
the	DT	DT
says	VBZ	VBZ
El	NNP	NNP
superior	JJ	NNP
basis	NN	NN
workers	NNS	NNS
last	JJ	JJ
setup	NN	NN
and	CC	CC
$	$	$
,	,	,
allocation	NN	NN
pregnant	JJ	JJ
adequate	JJ	JJ
1992	CD	CD
Street	NNP	NNP
attributed	VBN	VBD
reflected	VBD	VBD
to	TO	TO
non-executive	JJ	JJ
if	IN	IN
citing	VBG	VBG
's	POS	POS
What	WP	WP
lot	NN	NN
the	DT	DT
the	DT	DT
But	CC	CC
similar	JJ	JJ
side	NN	NN
or	CC	CC
retiring	VBG	VBG
160,000	CD	CD
cattle	NNS	NNS
ordinary	JJ	JJ
line	NN	NN
Daiwa	NNP	NNP
's	POS	POS
Jones	NNP	NNP
adequate	JJ	JJ
parents	NNS	NNS
or	CC	CC
,	,	,
long-term	JJ	JJ
is	VBZ	VBZ
buy	NN	VB
,	,	,
174.5	CD	CD
and	CC	CC
BT	NNP	NN
it	PRP	PRP
half-owned	JJ	JJ
.	.	.
be	VB	VB
asset	NN	NN
.	.	.
of	IN	IN
not	RB	RB
$	$	$
Dow	NNP	NNP
share	NN	NN
the	DT	DT
approaches	NNS	NNS
than	IN	IN
Lines	NNPS	NNS
the	DT	DT
that	IN	IN
6.07	CD	CD
may	MD	MD
academic	JJ	JJ
measures	NNS	NNS
billion	CD	CD
without	IN	IN
donations	NNS	NNS
.	.	.
on	IN	IN
,	,	,
,	,	,
rates	NNS	NNS
beyond	IN	IN
automatically	RB	RB
testing	NN	NN
,	,	,
changes	NNS	NNS
the	DT	DT
peas	NNS	NNP
options	NNS	NNS
Computer	NNP	NN
up	IN	IN
overseeing	VBG	VBG
alone	RB	RB
``	``	``
in	IN	IN
will	MD	MD
;	:	:
the	DT	DT
,	,	,
doorway	NN	NN
its	PRP$	PRP$
,	,	,
strong	JJ	JJ
in	IN	IN
weather	NN	NN
special	JJ	JJ
,	,	,
The	DT	DT
a	DT	DT
,	,	,
abortion	NN	NN
of	IN	IN
provisions	NNS	NNS
yearly	JJ	JJ
technicians	NNS	NNS
cold	JJ	JJ
introduced	VBN	VBN
investor-owned	JJ	VBN
was	VBD	VBD
affiliate	NN	NN
they	PRP	PRP
:	:	:
was	VBD	VBD
could	MD	MD
.	.	.
includes	VBZ	VBZ
.	.	.
cents	NNS	NNS
Mr.	NNP	NNP
and	CC	CC
--	:	:
,	,	,
based	VBN	VBN
slightly	RB	RB
plants	NNS	NNS
those	DT	DT
...	:	:
--	:	:
n't	RB	RB
million	CD	CD
PRINCE	NNP	NNP
market	NN	NN
payable	JJ	JJ
stake	NN	NN
in	IN	IN
Swiss	JJ	JJ
other	JJ	JJ
a	DT	DT
,	,	,
's	VBZ	POS
.	.	.
overseas	JJ	JJ
manager	NN	NN
could	MD	MD
better	JJR	JJR
earnings	NNS	NNS
contract	NN	NN
Equipment	NNP	NN
owner	NN	NN
Two	CD	CD
then	RB	RB
have	VB	VBP
,	,	,
restore	VB	VB
profits	NNS	NNS
president	NN	NN
later	RB	RB
that	IN	IN
to	TO	TO
hitting	VBG	VBG
to	TO	TO
Kidder	NNP	NNP
introduced	VBD	VBN
investors	NNS	NNS
n't	RB	RB
drugs	NNS	NNS
swings	NNS	NNS
last	JJ	JJ
security	NN	NN
will	MD	MD
,	,	,
$	$	$
types	NNS	NNS
Department	NNP	NNP
firm	NN	NN
.	.	.
reinforced	VBD	VBN
player	NN	NN
sales	NNS	NNS
reduced	VBN	VBN
-RRB-	)	)
volume	NN	NN
hit	VBD	VBD
South	NNP	NNP
deck	NN	NN
distress	NN	NN
to	TO	TO
drivers	NNS	NNS
investors	NNS	NNS
the	DT	DT
from	IN	IN
